ano,rodada,golMandante,golVisitante
2020,1,0,2
2020,1,0,1
2020,1,3,2
2020,1,0,1
2020,1,1,1
2020,1,1,0
2020,2,1,1
2020,2,3,2
2020,2,2,1
2020,2,3,0
2020,2,1,0
2020,2,1,1
2020,2,1,1
2020,2,1,0
2020,2,2,0
2020,2,2,0
2020,3,0,0
2020,3,0,1
2020,3,1,1
2020,3,2,0
2020,3,2,1
2020,3,2,1
2020,3,2,1
2020,3,1,1
2020,3,0,0
2020,3,3,1
2020,4,1,1
2020,4,2,1
2020,4,0,1
2020,4,1,3
2020,4,3,0
2020,4,2,1
2020,4,3,1
2020,4,0,1
2020,4,1,1
2020,4,0,3
2020,5,0,1
2020,5,1,0
2020,5,2,0
2020,5,1,1
2020,5,0,0
2020,5,2,1
2020,5,1,2
2020,5,0,1
2020,5,2,0
