ano, rodada, golMandante, golVisitante
2012,1,1,1
2012,1,1,1
2012,1,2,1
2012,1,0,1
2012,1,0,1
2012,1,4,2
2012,1,2,0
2012,1,2,1
2012,1,0,0
2012,1,0,0
2012,2,1,1
2012,2,3,3
2012,2,0,1
2012,2,0,0
2012,2,0,0
2012,2,1,0
2012,2,2,3
2012,2,1,0
2012,2,1,0
2012,2,2,2
2012,3,0,1
2012,3,2,1
2012,3,4,2
2012,3,1,1
2012,3,2,0
2012,3,2,2
2012,3,1,0
2012,3,1,1
2012,3,1,1
2012,3,2,3
2012,4,3,1
2012,4,0,1
2012,4,2,0
2012,4,2,0
2012,4,0,0
2012,4,1,2
2012,4,3,2
2012,4,0,0
2012,4,1,0
2012,4,1,0
2012,5,1,2
2012,5,1,0
2012,5,4,1
2012,5,1,0
2012,5,1,1
2012,5,2,1
2012,5,1,0
2012,5,1,0
2012,5,3,0
2012,5,1,0
2012,6,1,3
2012,6,1,0
2012,6,5,1
2012,6,2,1
2012,6,2,0
2012,6,1,1
2012,6,0,2
2012,6,1,2
2012,6,2,2
2012,6,1,4
2012,7,0,2
2012,7,2,3
2012,7,3,2
2012,7,2,3
2012,7,0,0
2012,7,1,1
2012,7,0,1
2012,7,3,1
2012,7,3,2
2012,7,1,3
2012,8,3,0
2012,8,2,1
2012,8,0,1
2012,8,1,1
2012,8,1,0
2012,8,4,2
2012,8,3,1
2012,8,1,0
2012,8,1,1
2012,8,2,0
2012,9,3,4
2012,9,2,1
2012,9,4,1
2012,9,1,2
2012,9,0,0
2012,9,1,3
2012,9,1,1
2012,9,1,1
2012,9,1,0
2012,9,2,1
2012,10,0,0
2012,10,3,1
2012,10,0,2
2012,10,3,0
2012,10,0,1
2012,10,3,1
2012,10,0,3
2012,10,4,0
2012,10,1,1
2012,10,3,2
2012,11,1,4
2012,11,2,0
2012,11,1,1
2012,11,4,1
2012,11,1,0
2012,11,0,2
2012,11,3,0
2012,11,2,2
2012,11,0,1
2012,11,1,2
2012,12,0,1
2012,12,1,1
2012,12,1,0
2012,12,3,4
2012,12,2,0
2012,12,1,0
2012,12,4,3
2012,12,2,0
2012,12,0,0
2012,12,0,2
2012,13,2,1
2012,13,0,0
2012,13,1,0
2012,13,0,0
2012,13,4,1
2012,13,0,0
2012,13,0,0
2012,13,2,1
2012,13,3,1
2012,13,2,1
2012,14,0,1
2012,14,1,2
2012,14,2,0
2012,14,0,0
2012,14,3,1
2012,14,0,2
2012,14,1,0
2012,14,1,2
2012,14,3,0
2012,14,2,1
2012,15,0,2
2012,15,0,0
2012,15,0,0
2012,15,1,1
2012,15,4,2
2012,15,0,2
2012,15,1,2
2012,15,2,1
2012,15,1,0
2012,15,0,0
2012,16,0,1
2012,16,0,1
2012,16,2,2
2012,16,2,0
2012,16,2,1
2012,16,1,2
2012,16,1,0
2012,16,1,2
2012,16,1,0
2012,16,1,1
2012,17,1,2
2012,17,1,1
2012,17,1,1
2012,17,0,2
2012,17,3,0
2012,17,2,0
2012,17,1,0
2012,17,2,2
2012,17,1,0
2012,17,1,3
2012,18,1,0
2012,18,1,0
2012,18,3,0
2012,18,3,2
2012,18,3,2
2012,18,4,0
2012,18,4,0
2012,18,2,1
2012,18,1,1
2012,18,1,0
2012,19,1,2
2012,19,1,2
2012,19,2,1
